id,age.16.25,age.26.39,age.40.64,age.65.,gender.female,gender.male,race.majority,race.minority,driving_experience.0.9y,driving_experience.10.19y,driving_experience.20.29y,driving_experience.30y.,education.high.school,education.none,education.university,income.middle.class,income.poverty,income.upper.class,income.working.class,credit_score,vehicle_ownership,vehicle_year.after.2015,vehicle_year.before.2015,married,children,postal_code,annual_mileage,vehicle_type.sedan,vehicle_type.sports.car,speeding_violations,duis,past_accidents,outcome
96421,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7172432277414597,1,1,0,0,0,10238,14000,1,0,5,0,2,0
594430,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.7894224472277749,1,1,0,1,1,10238,11000,1,0,2,0,0,0
243937,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.24964662855346012,1,0,1,1,1,10238,12000,1,0,1,0,0,0
314395,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0.36132103093124357,0,1,0,1,1,10238,16000,1,0,1,0,0,0
856856,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.5036080817339762,1,0,1,0,1,10238,12000,1,0,0,0,0,1
658273,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.3187402955455223,1,0,1,0,1,10238,12000,1,0,3,0,1,0
595418,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0.5197744766937168,1,0,1,0,1,10238,11000,1,0,0,0,0,0
675898,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0.5013400370536887,1,0,1,0,1,10238,16000,1,0,0,0,0,0
858469,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.4220565883689321,1,1,0,0,0,10238,17000,1,0,3,0,1,0
34729,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.5415994462853122,0,1,0,1,1,10238,13000,1,0,1,0,0,0
439808,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.6382268281302932,0,1,0,1,1,32765,9000,1,0,12,2,3,0
47324,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.48687434405114816,1,1,0,1,1,10238,10000,1,0,1,0,0,0
805148,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.6018473878730429,1,0,1,0,0,32765,11000,1,0,0,0,0,0
432502,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0.4938489553104739,0,0,1,0,0,10238,13000,0,1,0,0,0,1
61471,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.37182844624643696,1,0,1,0,1,10238,10000,1,0,0,0,0,1
178359,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.5197744766937168,0,0,1,1,1,10238,11000,1,0,2,0,3,0
28652,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.5197744766937168,1,0,1,1,1,32765,8000,1,0,11,0,3,0
748701,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.601689150849643,1,0,1,1,1,10238,9000,1,0,0,0,0,1
659166,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0.5552049143612784,1,0,1,0,0,32765,14000,1,0,3,1,2,0
860422,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.34918266981574675,1,0,1,0,0,10238,14000,1,0,0,0,0,1
15695,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.37336127502988464,0,0,1,1,1,32765,7000,1,0,0,0,0,1
257003,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0.28649791396404367,0,0,1,0,1,10238,12000,1,0,2,0,4,0
8388,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.4099514531583165,0,1,0,1,1,10238,9000,0,1,2,0,1,0
322984,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.6889519690902793,1,1,0,0,1,32765,13000,1,0,0,0,0,0
833888,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0.5197744766937168,0,1,0,1,1,32765,9000,1,0,0,0,0,1
309784,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.6394482553960631,1,1,0,1,1,21217,9000,0,1,2,0,0,1
741721,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.30310993196048436,1,1,0,0,1,10238,12000,1,0,0,0,0,0
142738,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0.4877578891667911,0,1,0,0,0,10238,14000,1,0,0,0,1,0
456102,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.30338938322359127,1,1,0,0,1,10238,12000,1,0,3,0,1,0
577364,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.4788315997465075,0,0,1,0,1,10238,12000,1,0,3,0,2,0
88175,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.48544736436728286,1,0,1,1,1,10238,14000,1,0,0,0,2,0
927463,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.4236918185682723,1,0,1,0,0,10238,13000,1,0,2,0,3,0
792349,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.5197744766937168,1,0,1,1,1,32765,7000,1,0,4,1,1,0
559890,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.7860422781785773,1,0,1,0,1,32765,11000,1,0,0,0,0,1
708828,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0.5581212231571222,1,1,0,1,1,10238,7000,1,0,1,0,0,0
495532,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0.5571976249254572,0,1,0,1,1,10238,12000,1,0,7,0,3,0
960813,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.680118669451412,0,0,1,1,0,10238,12000,1,0,2,0,1,0
253078,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.5644544359016245,1,0,1,1,0,10238,12000,0,1,0,0,0,0
80718,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6275059721961282,1,1,0,1,1,10238,12000,1,0,1,0,2,0
959559,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.6055147415098677,1,0,1,1,0,32765,11000,1,0,0,0,0,1
68125,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.7640156548895461,1,1,0,0,1,10238,17000,1,0,1,1,2,0
857693,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.3434299554259871,1,0,1,1,0,32765,12000,1,0,1,0,0,1
860165,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.5913370629526787,0,0,1,0,1,10238,9000,1,0,1,0,0,1
696265,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.71950978351085,1,1,0,1,1,10238,8000,1,0,2,1,0,0
878774,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.5197744766937168,1,0,1,1,1,10238,11000,1,0,0,0,0,0
573078,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0.42644569496894486,1,0,1,0,0,10238,18000,1,0,0,0,0,1
753714,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.5197744766937168,0,1,0,1,1,10238,8000,1,0,1,2,1,0
91893,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.5144951304269794,1,0,1,1,1,32765,11000,1,0,1,0,2,0
463200,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0.6978327754333008,1,1,0,0,0,10238,11000,1,0,2,0,2,0
64396,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.5491608755202677,0,0,1,0,1,32765,8000,1,0,6,3,2,0
392048,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.5197744766937168,0,0,1,1,1,32765,9000,1,0,0,0,0,0
63715,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.40065345567829397,1,0,1,0,1,10238,13000,1,0,5,1,5,0
41172,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.556439121706414,1,0,1,1,1,10238,7000,1,0,2,1,0,0
343177,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.27838832690814,1,0,1,1,1,10238,9000,1,0,3,0,2,0
125857,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.3430218659035241,1,1,0,0,0,10238,12000,1,0,1,0,1,0
448347,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.4930227323043317,1,1,0,1,1,32765,10000,1,0,4,0,1,0
710419,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.5706937051455321,1,1,0,1,1,10238,11000,1,0,0,0,1,0
928536,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.2516645240837031,0,0,1,1,1,10238,11000,1,0,0,0,0,1
589423,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.5183739861001168,1,0,1,1,1,10238,14000,1,0,0,1,2,0
981972,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.07993508867447276,0,1,0,0,0,32765,14000,1,0,0,0,0,0
530970,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0.4387649416252403,0,0,1,0,0,10238,13000,1,0,0,0,0,1
941109,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.6453594116411345,1,1,0,0,1,10238,8000,1,0,3,0,1,0
473963,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.609145573211488,0,0,1,1,0,32765,10000,1,0,7,0,1,0
698069,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.7717676751131461,1,0,1,0,0,92101,14000,1,0,0,0,1,1
529539,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.5339659493294925,1,0,1,1,1,10238,10000,1,0,1,0,5,0
856243,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.3078877204901572,1,0,1,0,0,32765,12000,1,0,3,0,1,0
307408,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.5197744766937168,1,0,1,0,1,10238,9000,1,0,2,0,0,0
39903,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.5065712536192066,0,1,0,0,0,10238,16000,1,0,0,0,0,0
450037,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.4850819350604394,0,0,1,0,1,10238,10000,1,0,0,0,0,0
950296,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.5427587243985217,1,1,0,0,1,21217,15000,1,0,1,0,0,1
250099,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.6434942228192092,1,0,1,1,1,10238,10000,1,0,7,0,6,0
8618,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.7179523220995782,1,1,0,0,0,32765,8000,1,0,1,0,0,0
182298,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.5197744766937168,0,0,1,0,0,10238,11000,1,0,2,0,1,0
772502,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0.24051211865086558,0,0,1,0,1,10238,14000,1,0,0,0,0,1
889867,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0.6386022784540267,1,0,1,1,1,10238,10000,1,0,0,0,0,1
941648,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.5197744766937168,0,1,0,1,1,10238,13000,1,0,1,0,3,0
527374,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.4260664833233744,0,1,0,0,1,10238,14000,1,0,0,0,0,1
569452,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.5266735474289429,1,0,1,1,1,32765,8000,1,0,6,0,3,0
446121,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0.5476995550852222,0,0,1,1,1,32765,8000,1,0,8,4,0,0
491511,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.47556584926107487,1,0,1,0,0,32765,13000,0,1,1,0,0,1
583619,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.6099999042651714,1,0,1,1,1,10238,10000,1,0,0,0,0,0
631763,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0.6289677505263047,1,0,1,0,1,32765,12000,1,0,1,0,1,1
458602,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.39638061129660873,1,0,1,1,1,10238,9000,1,0,0,0,1,0
196865,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.5197744766937168,1,1,0,1,1,10238,6000,1,0,6,0,5,0
18301,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.6585747598907254,1,0,1,1,0,10238,14000,1,0,4,0,2,1
451963,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0.7275924596320354,1,0,1,1,1,10238,11000,1,0,2,1,2,0
211111,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0.6253131865907114,1,1,0,1,1,10238,13000,1,0,0,0,0,0
18850,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.13431173647494782,0,0,1,1,1,10238,14000,1,0,1,0,0,0
804745,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.5197744766937168,1,0,1,0,0,10238,15000,1,0,0,0,0,1
513675,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0.6561042909999529,1,0,1,1,1,32765,6000,1,0,13,6,3,0
951947,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.6087559160376538,1,1,0,0,1,32765,10000,1,0,8,1,6,0
25072,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.4965137111910633,0,0,1,0,0,32765,13000,1,0,0,0,0,1
114580,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.5825623336291876,1,0,1,1,1,92101,10000,1,0,3,2,1,0
975620,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.456012108812026,1,0,1,0,0,10238,15000,1,0,1,0,2,0
241008,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.5197744766937168,1,0,1,0,1,10238,14000,1,0,0,0,0,0
462639,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0.41785891897830746,1,1,0,0,0,10238,17000,1,0,0,0,2,0
360911,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.2552912067335108,0,0,1,0,1,10238,9000,1,0,0,0,0,1
174251,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.29329025971285744,0,0,1,0,0,10238,17000,1,0,0,0,0,1
804910,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.4190353583727647,1,0,1,1,1,10238,12000,1,0,1,1,1,0
87102,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0.3299063071005878,0,0,1,0,1,32765,12000,1,0,0,0,0,1
237361,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0.745900405419531,1,0,1,0,0,32765,11000,1,0,0,0,0,1
908772,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.5079021229252157,1,0,1,0,0,10238,12000,1,0,1,0,0,1
741006,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.6156762254923833,1,1,0,1,1,10238,15000,1,0,0,0,0,0
801829,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0.7134759600436743,1,0,1,0,0,32765,12000,1,0,0,0,0,1
387710,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.7996843571569643,0,1,0,1,1,10238,10000,1,0,2,0,4,0
888828,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.6669925170004689,1,0,1,1,0,10238,14000,1,0,3,0,2,0
161766,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.29028141610789,1,1,0,0,1,92101,12000,1,0,3,1,2,0
548888,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.546068970769351,0,1,0,1,1,10238,12000,1,0,1,0,1,0
930990,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.45218845449475414,1,1,0,0,0,10238,16000,1,0,0,0,0,0
90787,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.7229744961309974,0,0,1,1,1,10238,12000,1,0,0,0,0,0
637023,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.7108193881646854,1,0,1,1,0,32765,10000,1,0,5,0,1,0
617007,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0.5063451189518765,1,1,0,1,1,10238,10000,1,0,4,0,2,0
924758,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0.5197744766937168,1,0,1,0,0,10238,15000,1,0,0,0,0,1
913410,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.2436382585065263,1,0,1,0,0,10238,11000,1,0,2,0,0,0
179889,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.32734831657468155,0,0,1,0,1,32765,12000,1,0,1,0,0,1
243010,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0.4025918694135599,0,0,1,0,1,10238,8000,1,0,0,0,0,1
959649,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.6389255781763672,1,0,1,1,1,32765,3000,1,0,0,0,0,1
118986,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.629191699095153,1,0,1,1,1,10238,10000,1,0,6,0,6,0
772387,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.5836273750217419,0,0,1,1,1,10238,14000,1,0,2,0,1,0
839121,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0.5654401643345156,1,0,1,1,1,10238,8000,1,0,1,0,2,0
999976,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.4601726002761064,1,0,1,1,1,10238,9000,1,0,0,0,1,0
918841,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.5764675472741112,1,1,0,1,1,32765,12000,1,0,3,1,0,0
754494,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.3622937068391375,0,0,1,0,0,10238,13000,1,0,0,0,0,1
119550,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.36017515971058345,1,0,1,1,1,10238,11000,1,0,3,0,2,0
561094,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.3518052978615692,0,0,1,0,1,10238,13000,1,0,0,0,0,1
352448,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.6405451912147805,1,0,1,1,1,10238,10000,1,0,3,0,2,0
898555,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.5197744766937168,1,0,1,1,0,10238,12000,1,0,0,0,0,0
940396,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0.6897715002443136,1,1,0,1,1,32765,7000,0,1,0,0,0,0
854896,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.5653076694364424,1,1,0,1,1,10238,12000,1,0,2,1,1,0
371426,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.43193777561727076,1,0,1,0,0,10238,20000,1,0,0,0,0,1
67903,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.5197744766937168,1,0,1,0,0,92101,15000,1,0,0,0,0,1
605373,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.42081236294526514,0,1,0,0,1,10238,12000,1,0,0,0,0,0
7184,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.5500101348201089,1,1,0,1,1,10238,10000,1,0,4,0,8,0
541648,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.7275797470983577,1,1,0,1,0,10238,17000,1,0,0,0,0,0
31928,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.7800551959985232,1,1,0,0,1,32765,12000,1,0,10,0,2,0
631499,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.6324514957061393,1,1,0,1,1,10238,12000,1,0,3,0,3,0
110127,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.46549087190915817,1,1,0,0,1,10238,13000,1,0,0,0,0,0
981439,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.3685810728660567,0,0,1,0,1,10238,11000,1,0,1,1,0,1
799204,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.7222269711188113,1,1,0,1,1,10238,8000,1,0,3,0,0,0
657577,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.6957135667229064,1,1,0,1,0,10238,11000,1,0,2,1,6,0
107735,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.4656048239724708,1,1,0,1,1,32765,7000,1,0,8,0,4,0
533795,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0.23906715185081562,1,0,1,0,0,10238,13000,1,0,0,0,0,1
818352,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.560487617352349,0,0,1,1,0,32765,12000,1,0,0,0,1,1
9941,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.39044473723994705,0,0,1,0,1,10238,12000,1,0,2,0,1,0
695567,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.5197744766937168,1,0,1,1,0,10238,12000,1,0,1,0,1,0
124336,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0.46515260498541827,0,0,1,0,1,32765,8000,1,0,0,0,0,1
362279,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0.1741852159010371,1,0,1,1,1,10238,8000,1,0,0,0,0,0
946168,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0.5658028885338087,1,0,1,0,1,10238,13000,1,0,0,0,0,0
730488,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.4831473273313041,1,1,0,1,1,32765,8000,1,0,5,0,0,0
725307,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0.4156317736783564,0,0,1,1,1,10238,11000,1,0,3,3,1,1
520581,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.6079129575188071,1,0,1,0,0,10238,15000,1,0,0,1,1,0
115809,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.36754887607472,1,0,1,0,0,10238,12000,0,1,3,0,1,0
816701,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.5197744766937168,1,0,1,0,1,32765,7000,1,0,0,0,0,1
111628,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.7039031648510525,0,0,1,1,1,10238,7000,1,0,0,0,0,0
767312,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.46003378618857144,1,0,1,0,1,32765,9000,1,0,2,0,0,0
931947,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.09690447728359482,0,1,0,0,1,10238,10000,1,0,0,0,0,1
